source,neighborhood,price,covered_m2,ambientes,bedrooms,url,captured_at,price_per_m2
mercadolibre,Almagro,143000.0,43.0,1,,https://departamento.mercadolibre.com.ar/MLA-3923080134-departamento-en-almagro-_JM,2026-09-17 13:44:43.464233+00:00,3326
mercadolibre,Almagro,83200.0,27.0,1,,https://departamento.mercadolibre.com.ar/MLA-3867392420-venta-departamento-de-1-ambiente-apto-credito-abasto-balvanera-_JM,2026-09-17 13:44:43.464233+00:00,3081
mercadolibre,Almagro,101408.0,37.0,1,,https://departamento.mercadolibre.com.ar/MLA-1685027735-departamento-interno-1-ambiente-venta-almagro-_JM,2026-09-17 13:44:43.464233+00:00,2741
mercadolibre,Almagro,117900.0,35.0,1,,https://departamento.mercadolibre.com.ar/MLA-2900077240-departamento-al-frente-con-balcon-en-excelente-torre-_JM,2026-09-17 13:44:43.464233+00:00,3369
mercadolibre,Almagro,124900.0,35.0,1,,https://departamento.mercadolibre.com.ar/MLA-3220699150-piso-11-en-excelente-torre-con-seguridad-full-amenities-_JM,2026-09-17 13:44:43.464233+00:00,3569
mercadolibre,Almagro,92058.0,26.0,1,,https://departamento.mercadolibre.com.ar/MLA-3489235724-departamento-almagro-_JM,2026-09-17 13:44:43.464233+00:00,3541
mercadolibre,Almagro,100000.0,39.0,1,,https://departamento.mercadolibre.com.ar/MLA-1972168359-venta-monoambiente-villa-crespo-_JM,2026-09-17 13:44:43.464233+00:00,2564
mercadolibre,Almagro,79900.0,26.0,1,,https://departamento.mercadolibre.com.ar/MLA-2038457109-venta-departamento-de-1-ambiente-apto-credito-abasto-_JM,2026-09-17 13:44:43.464233+00:00,3073
mercadolibre,Almagro,87750.0,26.0,1,,https://departamento.mercadolibre.com.ar/MLA-2038445057-venta-departamento-de-1-ambiente-apto-credito-abasto-_JM,2026-09-17 13:44:43.464233+00:00,3375
mercadolibre,Almagro,85000.0,31.0,1,,https://departamento.mercadolibre.com.ar/MLA-2032551575-venta-departamento-monoambiente-balcon-losa-radiante-almagro-_JM,2026-09-17 13:44:43.464233+00:00,2742
mercadolibre,Almagro,84900.0,40.0,1,,https://departamento.mercadolibre.com.ar/MLA-3552677134-venta-departamento-monoambiente-con-balcon-amenities-en-almagro-_JM,2026-09-17 13:44:43.464233+00:00,2122
mercadolibre,Almagro,78000.0,30.0,1,,https://departamento.mercadolibre.com.ar/MLA-2840876728-departamento-monoambiente-en-almagro-a-estrenar-_JM,2026-09-17 13:44:43.464233+00:00,2600
mercadolibre,Almagro,75000.0,36.0,1,,https://departamento.mercadolibre.com.ar/MLA-1669204863-departamento-monoambiente-en-venta-cochera-patio-almagro-_JM,2026-09-17 13:44:43.464233+00:00,2083
mercadolibre,Almagro,70000.0,32.0,1,,https://departamento.mercadolibre.com.ar/MLA-2861989870-departamento-en-venta-en-almagro-capital-federal-_JM,2026-09-17 13:44:43.464233+00:00,2188
mercadolibre,Almagro,75000.0,28.0,1,,https://departamento.mercadolibre.com.ar/MLA-2070414943-venta-monoambiente-en-almagro-_JM,2026-09-17 13:44:43.464233+00:00,2679
mercadolibre,Almagro,74000.0,33.0,1,,https://departamento.mercadolibre.com.ar/MLA-3795702302-jose-marmol-_JM,2026-09-17 13:44:43.464233+00:00,2242
mercadolibre,Almagro,99900.0,28.0,1,,https://departamento.mercadolibre.com.ar/MLA-3066876754-al-frente-con-balcon-en-excelente-torre-con-seguridad-24-hs-_JM,2026-09-17 13:44:43.464233+00:00,3568
mercadolibre,Almagro,99999.0,29.0,1,,https://departamento.mercadolibre.com.ar/MLA-2824214018-departamento-monoambiente-en-venta-a-estrenar-en-villa-crespo-con-amenities-oportunidad-_JM,2026-09-17 13:44:43.464233+00:00,3448
mercadolibre,Almagro,119999.0,36.0,1,,https://departamento.mercadolibre.com.ar/MLA-3379518726-monoambiente-en-venta-a-estrenar-en-villa-crespo-con-amenities-full-oportunidad-_JM,2026-09-17 13:44:43.464233+00:00,3333
